stock,Bearish,Neutral,Bullish,Total_Compound,date,assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled,high52,low52,dividendAmount,dividendYield,dividendDate,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg
GOOG,0.055,0.871,0.074,0.098,2022-07-24,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,108.48,300,P,108.5,4100,P,108.48,0,D,111.81,113.18,107.6, ,115.04,-6.56,44455304,1658534397699.0,1658534398276.0,108.36,q,NASD,True,True,0.0115,4,152.1,102.208,0.0,20.45,0.0,0.0,,Normal,108.36,31818,-6.68,1658520001033.0,-5.7024,-6.68,-5.8067,-5.8067,True,False,152.1,102.208,0.0,0.0, ,0.444018,5.93085,5.58659,17.16012,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6267528340.0,11817.0,1510245.0,13.57264,0.0,0.0,0.0,0.0, ,1.09367,37490790.0,11886060.0,836307760.0
TSLA,0.089,0.848,0.063,-0.195,2022-07-24,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",815.0,500,P,815.5,900,P,815.5,0,D,828.66,842.36,812.14, ,815.12,0.38,34490949,1658534394098.0,1658534397788.0,816.73,q,NASD,True,True,0.0361,4,1243.49,620.57,0.0,89.03,0.0,0.0,,Normal,816.73,6150,1.61,1658520000578.0,0.0466,1.61,0.1975,0.1975,True,False,1243.49,620.57,0.0,0.0, ,0.0,23.22363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05925,1.43082,0.0,10.52557,7.96679,12.17836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036390569.0,857.5012,844782.7,37.79043,0.0,0.0,0.0,0.0, ,2.14258,30993770.0,30993770.0,640860580.0
META,0.044,0.761,0.196,0.417,2022-07-24,EQUITY,EQUITY,30303M102,,META,"Meta Platforms, Inc. - Class A Common Stock",169.0,6700,P,169.09,900,P,169.09,100,D,173.07,175.5995,168.41, ,183.17,-14.08,42583916,1658534397524.0,1658534394822.0,169.27,q,NASD,True,False,0.0191,4,384.33,154.25,0.0,13.67,0.0,0.0,,Normal,169.27,17317,-13.9,1658520001064.0,-7.6868,-13.9,-7.5886,-7.5886,True,False,384.33,154.25,0.0,0.0, ,1.049684,4.03418,4.14251,10.89656,80.34279,78.48287,31.20185,26.7486,36.68461,30.54321,29.06982,22.78507,25.40536,0.0,2.81063,0.0,0.48856,0.42523,0.49096,13.21382,13.20588,0.0,0.0,0.0,26.76483,0.0,2293518778.0,2280.984,495717.3,17.35462,0.0,0.0,0.0,0.0, ,1.41957,22294530.0,22294525.0,671910130.0
GOOGL,0.043,0.872,0.085,0.166,2022-07-24,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,108.02,400,P,108.06,1700,P,108.04,0,D,111.0,112.34,106.5, ,114.34,-6.3,48901184,1658534399671.0,1658534399323.0,107.9,q,NASD,True,True,0.016,4,151.5466,101.8847,0.0,20.31,0.0,0.0,,Normal,107.9,29583,-6.44,1658520000996.0,-5.5099,-6.44,-5.6323,-5.6323,True,False,151.5466,101.8847,0.0,0.0, ,0.444018,5.93085,5.58659,17.16012,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6015272440.0,11817.0,1510245.0,13.57264,0.0,0.0,0.0,0.0, ,1.09367,37490790.0,14853946.0,836307760.0
NVDA,0.066,0.789,0.145,0.289,2022-07-24,EQUITY,EQUITY,67066G104,,NVDA,NVIDIA Corporation - Common Stock,172.3,13600,K,172.46,100,P,172.3,0,K,178.93,179.67,171.365, ,180.5,-8.2,53667088,1658534399169.0,1658534399169.0,173.19,q,NASD,True,True,0.0198,4,346.47,140.55,0.0,47.7832,0.16,0.09,2022-06-08 00:00:00.000,Normal,173.19,19606,-7.31,1658520000806.0,-4.5429,-7.31,-4.0499,-4.0499,True,False,346.47,140.55,0.16,0.09,2022-06-08 00:00:00.000,0.631774,17.17219,15.27538,42.22815,65.25168,65.52847,32.0199,19.5222,33.69216,22.53861,41.95237,24.88949,28.47295,4.74865,5.31733,43.62162,29.37451,41.59195,41.59195,3.72662,76.66562,0.0,0.0,0.0,53.41192,8.43909,2500000000.0,2399.091,451250.0,33.95157,0.0,0.0,0.0,0.04,2022-07-01 00:00:00.000,1.65721,54194030.0,54194028.0,1185020500.0
MSFT,0.058,0.824,0.119,0.109,2022-07-24,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,260.1,1000,P,260.34,200,P,260.24,0,P,265.24,265.33,259.07, ,264.84,-4.6,21881290,1658534382062.0,1658534398868.0,260.36,q,NASD,True,True,0.0175,4,349.67,241.51,0.0,27.3629,2.48,0.94,2022-08-17 00:00:00.000,Normal,260.36,27098,-4.48,1658520001155.0,-1.7369,-4.48,-1.6916,-1.6916,True,False,349.67,241.51,2.48,0.94,2022-08-17 00:00:00.000,0.907596,12.16394,10.28655,22.95693,68.7303,68.36507,37.62834,33.88979,42.52819,41.15478,48.72154,22.17523,28.76071,1.94509,1.98765,180.2124,28.3501,37.8876,39.56753,9.58486,30.44424,9.1275,0.0,0.0,20.37145,0.0,7479033135.0,7455.382,1980747.0,15.4153,0.0,0.0,0.0,0.62,2022-09-08 00:00:00.000,0.91862,25060120.0,25060116.0,650433190.0
AAPL,0.022,0.917,0.061,0.365,2022-07-24,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,153.87,500,P,153.91,100,K,153.93,0,D,155.39,156.28,153.41, ,155.35,-1.42,66675408,1658534394837.0,1658534393466.0,154.09,q,NASD,True,True,0.0129,4,182.94,129.04,0.0,24.876,0.92,0.59,2022-05-06 00:00:00.000,Normal,154.09,52890,-1.26,1658520000285.0,-0.9141,-1.26,-0.8111,-0.8111,True,False,182.94,129.04,0.92,0.59,2022-05-06 00:00:00.000,0.663643,37.35732,6.51362,22.21369,43.32219,43.74987,26.40687,25.70982,30.92584,30.81786,149.2711,29.64002,44.91251,0.88402,0.92684,0.0,64.03085,153.3005,178.016,6.15212,38.04979,9.23257,0.0,0.0,18.62627,0.0,16185181000.0,16173.42,2514368.0,0.0,0.0,0.0,0.0,0.23,2022-05-12 00:00:00.000,1.21228,72534120.0,72534119.0,1929019450.0
AMZN,0.034,0.891,0.075,-0.021,2022-07-24,EQUITY,EQUITY,023135106,,AMZN,"Amazon.com, Inc. - Common Stock",122.2,2800,K,122.4,400,K,122.4,0,D,125.01,125.5,121.3504, ,124.63,-2.23,51463797,1658534396789.0,1658534398440.0,122.42,q,NASD,True,True,0.0169,4,188.1073,101.26,0.0,58.03,0.0,0.0,,Normal,122.42,1,-2.21,1658520000491.0,-1.7893,-2.21,-1.7732,-1.7732,True,False,188.1073,101.26,0.0,0.0, ,0.0,9.46809,2.6542,22.17972,42.13686,42.89186,4.4804,0.0,4.11995,3.15087,18.0456,5.83366,8.93864,0.70884,0.95963,0.42688,34.74189,51.07499,53.23766,2.06795,0.0,0.0,0.0,0.0,13.98564,0.0,10174409620.0,9169.922,1268037.0,46.36798,0.0,0.0,0.0,0.0, ,1.27878,60198840.0,60198841.0,1858925280.0
NFLX,0.191,0.737,0.072,-0.558,2022-07-24,EQUITY,EQUITY,64110L106,,NFLX,"Netflix, Inc. - Common Stock",220.0,200,P,220.16,500,Q,220.16,0,Q,222.38,229.35,218.44, ,223.88,-3.72,17805452,1658534392594.0,1658534392594.0,220.44,q,NASD,True,True,0.0271,4,700.9894,162.71,0.0,18.84,0.0,0.0,,Normal,220.44,4833,-3.44,1658520000682.0,-1.6616,-3.44,-1.5365,-1.5365,True,False,700.9894,162.71,0.0,0.0, ,1.606633,5.2141,3.20534,5.44574,40.63418,41.1459,15.5979,18.07937,19.13245,19.80245,29.38772,11.08573,13.44687,0.0,1.04543,8.99537,42.73075,74.61377,74.61377,10.68644,13.03964,7.67288,0.0,0.0,12.49062,1.30118,444273850.0,437.6459,99464.03,41.78051,0.0,0.0,0.0,0.0, ,1.33218,17867430.0,17867433.0,264517880.0
CRSR,0.16,0.638,0.202,0.208,2022-07-24,EQUITY,EQUITY,22041X102,,CRSR,"Corsair Gaming, Inc. - Common Stock",13.35,100,Q,13.59,2500,Q,13.36,0,Q,13.77,14.8,13.49, ,14.48,-1.12,1007167,1658534350919.0,1658534350919.0,13.85,q,NASD,True,True,0.1156,4,30.99,12.23,0.0,27.08,0.0,0.0,,Normal,13.85,475,-0.63,1658520000668.0,-7.7348,-0.63,-4.3508,-4.3508,True,False,30.99,12.23,0.0,0.0, ,0.0,2.37991,0.78697,14.14562,25.31035,23.83981,2.90298,0.0,3.62637,0.0,9.19548,3.84168,5.86536,0.84754,1.62834,0.0,28.72536,41.65429,42.47356,0.48908,0.0,0.0,0.0,0.0,0.0,0.0,95399909.0,91.92764,1381.391,0.0,0.0,0.0,0.0,0.0, ,0.0,501040.0,501038.0,16576670.0
TSLA,0.081,0.861,0.058,-0.178,2022-07-25,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",815.0,500,P,815.5,900,P,815.5,0,D,828.66,842.36,812.14, ,816.73,-1.23,34490949,1658534394098.0,1658534397788.0,816.73,q,NASD,True,True,0.0361,4,1243.49,620.57,0.0,97.74,0.0,0.0,,Normal,816.73,6150,0.0,1658520000578.0,-0.1506,0.0,0.0,0.0,True,False,1243.49,620.57,0.0,0.0, ,0.0,23.2695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05925,1.43082,0.0,10.52557,7.96679,12.17836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036390569.0,857.5012,846451.3,37.79043,0.0,0.0,0.0,0.0, ,2.14539,31047730.0,31047728.0,644613500.0
GOOG,0.065,0.847,0.088,0.116,2022-07-25,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,108.48,300,P,108.5,4100,P,108.48,0,D,111.81,113.18,107.6, ,108.36,0.12,44455304,1658534397699.0,1658534398276.0,108.36,q,NASD,True,True,0.0115,4,152.1,102.208,0.0,20.52,0.0,0.0,,Normal,108.36,31818,0.0,1658520001033.0,0.1107,0.0,0.0,0.0,True,False,152.1,102.208,0.0,0.0, ,0.419009,5.5968,5.26728,16.17932,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6267528340.0,11817.0,1423926.0,13.57264,0.0,0.0,0.0,0.0, ,1.0823,38557090.0,16324320.0,833646920.0
GOOGL,0.043,0.872,0.085,0.166,2022-07-25,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,108.02,400,P,108.06,1700,P,108.04,0,D,111.0,112.34,106.5, ,107.9,0.14,48901184,1658534399671.0,1658534399323.0,107.9,q,NASD,True,True,0.016,4,151.5466,101.8847,0.0,20.39,0.0,0.0,,Normal,107.9,29583,0.0,1658520000996.0,0.1297,0.0,0.0,0.0,True,False,151.5466,101.8847,0.0,0.0, ,0.419009,5.5968,5.26728,16.17932,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6015272440.0,11817.0,1423926.0,13.57264,0.0,0.0,0.0,0.0, ,1.0823,38557090.0,19734505.0,833646920.0
META,0.049,0.777,0.174,0.367,2022-07-25,EQUITY,EQUITY,30303M102,,META,"Meta Platforms, Inc. - Class A Common Stock",169.0,6700,P,169.09,900,P,169.09,100,D,173.07,175.5995,168.41, ,169.27,-0.18,42583916,1658534397524.0,1658534394822.0,169.27,q,NASD,True,False,0.0191,4,384.33,154.25,0.0,13.68,0.0,0.0,,Normal,169.27,17317,0.0,1658520001064.0,-0.1063,0.0,0.0,0.0,True,False,384.33,154.25,0.0,0.0, ,0.970028,3.72804,3.82815,10.06967,80.34279,78.48287,31.20185,26.7486,36.68461,30.54321,29.06982,22.78507,25.40536,0.0,2.81063,0.0,0.48856,0.42523,0.49096,13.21382,13.20588,0.0,0.0,0.0,26.76483,0.0,2293518778.0,2280.984,458099.4,17.35462,0.0,0.0,0.0,0.0, ,1.3962,24627990.0,24627993.0,673962510.0
MSFT,0.058,0.824,0.119,0.109,2022-07-25,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,260.1,1000,P,260.34,200,P,260.24,0,P,265.24,265.33,259.07, ,260.36,-0.12,21881290,1658534382062.0,1658534398868.0,260.36,q,NASD,True,True,0.0175,4,349.67,241.51,0.0,27.6311,2.48,0.95,2022-08-17 00:00:00.000,Normal,260.36,27098,0.0,1658520001155.0,-0.0461,0.0,0.0,0.0,True,False,349.67,241.51,2.48,0.95,2022-08-17 00:00:00.000,0.892243,11.95818,10.11254,22.5686,68.7303,68.36507,37.62834,33.88979,42.52819,41.15478,48.72154,22.17523,28.76071,1.94509,1.98765,180.2124,28.3501,37.8876,39.56753,9.58486,30.44424,9.1275,0.0,0.0,20.37145,0.0,7479033135.0,7455.382,1947241.0,15.4153,0.0,0.0,0.0,0.62,2022-09-08 00:00:00.000,0.91887,25282370.0,25282370.0,647925020.0
NVDA,0.047,0.828,0.124,0.307,2022-07-25,EQUITY,EQUITY,67066G104,,NVDA,NVIDIA Corporation - Common Stock,172.3,13600,K,172.46,100,P,172.3,0,K,178.93,179.67,171.365, ,173.19,-0.89,53667088,1658534399169.0,1658534399169.0,173.19,q,NASD,True,True,0.0198,4,346.47,140.55,0.0,48.4353,0.16,0.09,2022-06-08 00:00:00.000,Normal,173.19,19606,0.0,1658520000806.0,-0.5139,0.0,0.0,0.0,True,False,346.47,140.55,0.16,0.09,2022-06-08 00:00:00.000,0.606188,16.47674,14.65675,40.51797,65.25168,65.52847,32.0199,19.5222,33.69216,22.53861,41.95237,24.88949,28.47295,4.74865,5.31733,43.62162,29.37451,41.59195,41.59195,3.72662,76.66562,0.0,0.0,0.0,53.41192,8.43909,2500000000.0,2399.091,432975.0,33.95157,0.0,0.0,0.0,0.04,2022-07-01 00:00:00.000,1.64339,54881020.0,54881020.0,1182085750.0
AAPL,0.022,0.917,0.061,0.365,2022-07-25,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,153.87,500,P,153.91,100,K,153.93,0,D,155.39,156.28,153.41, ,154.09,-0.16,66675408,1658534394837.0,1658534393466.0,154.09,q,NASD,True,True,0.0129,4,182.94,129.04,0.0,25.2515,0.92,0.6,2022-05-06 00:00:00.000,Normal,154.09,52890,0.0,1658520000285.0,-0.1038,0.0,0.0,0.0,True,False,182.94,129.04,0.92,0.6,2022-05-06 00:00:00.000,0.65826,37.05432,6.46079,22.03352,43.32219,43.74987,26.40687,25.70982,30.92584,30.81786,149.2711,29.64002,44.91251,0.88402,0.92684,0.0,64.03085,153.3005,178.016,6.15212,38.04979,9.23257,0.0,0.0,18.62627,0.0,16185181000.0,16173.42,2493975.0,0.0,0.0,0.0,0.0,0.23,2022-05-12 00:00:00.000,1.20945,72746880.0,72746880.0,1922950450.0
GO,0.118,0.802,0.079,-0.003,2022-07-25,EQUITY,EQUITY,39874R101,,GO,Grocery Outlet Holding Corp. - Common Stock,43.05,100,P,44.5,100,P,43.05,0,D,44.67,45.07,44.08, ,44.2,-1.15,748653,1658521158688.0,1658533227857.0,44.2,q,NASD,True,True,0.0435,4,46.13,21.01,0.0,78.42,0.0,0.0,,Normal,44.2,961,0.0,1658520000747.0,-2.6018,0.0,0.0,0.0,True,False,46.13,21.01,0.0,0.0, ,0.0,4.1556,1.34855,33.02864,30.63906,30.17571,1.74106,1.39206,2.68086,2.33671,5.57684,2.11273,2.30744,0.67593,1.9036,5.37507,30.62308,44.14015,44.14015,0.55331,0.0,0.0,0.0,0.0,1.01526,6.22537,96367403.0,87.85214,4259.439,0.0,0.0,0.0,0.0,0.0, ,0.0,820790.0,820791.0,24310250.0
